Cod_promo,Nom_promo,Formato_promo,Unidades_por_promo
C1-2025-02-CIRG,Red Bull 473 ml,2x,2
C1-2025-02-CA,Red Bull 473 ml,2x,2
C1-2025-02-UM,Red Bull 473 ml,2x,2
C1-2025-03-CIRM,Coca Cola 591 ml,2x,2
C1-2025-03-CIRG,Coca Cola 591 ml,2x,2
C1-2025-03-CA,Coca Cola 591 ml,2x,2
C1-2025-03-UM,Coca Cola 591 ml,2x,2
C1-2025-04-CIRM,Agua Mineral 1.5 L,3x,3
C1-2025-04-CIRG,Agua Mineral 1.5 L,3x,3
C1-2025-04-CA,Agua Mineral 1.5 L,3x,3
C1-2025-04-UM,Agua Mineral 1.5 L,3x,3
C1-2025-50-CIRM,Hot dog + Red Bull 473 ml,Cruzada,2
C1-2025-50-CIRG,Hot dog + Red Bull 473 ml,Cruzada,2
C1-2025-50-CA,Hot dog + Red Bull 473 ml,Cruzada,2
C1-2025-50-UM,Hot dog + Red Bull 473 ml,Cruzada,2
C2-2025-01-CIRM,Monster 473 ml (variedades),2x,2
C2-2025-01-CIRG,Monster 473 ml (variedades),2x,2
C2-2025-01-CA,Monster 473 ml (variedades),2x,2
C2-2025-01-UM,Monster 473 ml (variedades),2x,2
C2-2025-02-CIRM,Sprite 591 ml,2x,2
C2-2025-02-CIRG,Sprite 591 ml,2x,2
C2-2025-02-CA,Sprite 591 ml,2x,2
C2-2025-02-UM,Sprite 591 ml,2x,2
C2-2025-03-CIRM,Doritos + Pepsi 500 ml,Cruzada,2
C2-2025-03-CIRG,Doritos + Pepsi 500 ml,Cruzada,2
C2-2025-03-CA,Doritos + Pepsi 500 ml,Cruzada,2
C2-2025-03-UM,Doritos + Pepsi 500 ml,Cruzada,2
C3-2025-01-CIRM,Monster 473 ml (variedades),2x,2
C3-2025-01-CIRG,Monster 473 ml (variedades),2x,2
C3-2025-01-CA,Monster 473 ml (variedades),2x,2
C3-2025-01-UM,Monster 473 ml (variedades),2x,2
